sp002-000001_KS_04	mUrcCitA ratiH ityuktam
sp002-001849_RV_05	vAryAH argalAyAH vizkamBasya BaNge BaYjane pravftta iva baBO
sp002-001850_RV_05	SEleti
sp002-001851_RV_05	SElopamaH sa gajaH SEvalamaYjarIRAm jAlAni bfndAni jalanIlItu SEvAlam SEvalaH ityamaraH
sp002-001852_RV_05	urasA karzan paScAt tawam utsasarpa
sp002-001853_RV_05	pUrvam tena gajena utpIqitaH nunnaH vArirASiryasya saH saritpravAhaH tawam utsasarpa
sp002-001854_RV_05	ujjagAma
sp002-001855_RV_05	tasyeti
sp002-001856_RV_05	tasya ekanAgasya ekAkino gajasya kapolaBittyoH gaRqasTalayoH jalAvagAhena kzaRamAtram
sp002-001857_RV_05	SAntA nivfttA madadurdinaSrIH madavarzalakzmIH vanyetarezAm grAmyARAm anekapAnAm dvipAnAm darSanena dvirado anekapo dvipaH ityamaraH
sp002-001858_RV_05	punardilIpe vavfDe
sp002-001859_RV_05	saptacCadeti
sp002-001860_RV_05	saptacCadasya vfkzaviSezasya kzIravat kawuH suraBiH pravAhaH prasAro yasya tam
sp002-001861_RV_05	kawutiktakazAyAstu sOraByeऽpi prakIrtitAH iti yAdavaH
sp002-001862_RV_05	asahyam tadIyam gajasambanDinam madamAGrAya senAgajendrAH
sp002-001863_RV_05	vilaNGritaH tiraskftaH ADoraRAnAm hastipakAnAm tIvraH mahAn yatno yEste taToktAH santaH
sp002-001864_RV_05	ADoraRA hastipakA hastyArohA nizAdinaH ityamaraH
sp002-001865_RV_05	vimuKAH parANmuKAH baBUvuH
sp002-001866_RV_05	sa iti
sp002-001867_RV_05	saH gajaH
sp002-001868_RV_05	CinnAH banDAH yEste CinnabanDAH drutAH palAyitAH yugam vahantIti yugyAH
sp002-001869_RV_05	aSvAH tadvahati raTayuga prAsaNgamiti yatpratyayaH
sp002-001870_RV_05	yasminsaH
sp002-001871_RV_05	sa cAsO SUnyaSca tam
sp002-001872_RV_05	akzAH raTAvayavadAruviSezAH
sp002-001873_RV_05	akzo raTasyAvayave pASakeऽpyakzamidriyam iti SASvataH
sp002-001874_RV_05	BagnAH akzAH yezAm te BagnAkzAH ata eva paryastAH patitAH raTAH yasmin tam
sp002-001875_RV_05	rAmARAm strIRAm paritrARe saMrakzaRe vihastAH vyAkulAH
sp002-001876_RV_05	yoDA yasmin tam rAmA paritrARa vihastayoDam vihastavyAkulO samO ityamaraH
sp002-001877_RV_05	senAniveSam Siviram kzaRena tumulam saNkulam cakAra
sp002-001878_RV_05	tamiti
sp002-001879_RV_05	nfpateH rAjYaH vane BavaH vanyaH karI avaDyaH hantumayogya iti SrutavAn SAstrAt aBijYAtavAn
sp002-001880_RV_05	kumAra ajaH Apatantam aDiDAvantam tam gajam nivartayizyan na tu praharizyan
sp002-001881_RV_05	ata eva nAtyAyatam anatidIrGam yaTA syAt
sp002-001882_RV_05	naYarTasya naSabdasya supsupA iti samAsaH
sp002-001883_RV_05	kfzRaSArNgaH IzadAkfzwacApaH san viSiKena bARena kumBe jaGAna
sp002-001884_RV_05	atra cAkzuzaH lakzmIkAmo yudDAdanyatra kIravaDam na kuryAt
sp002-001885_RV_05	iyam hi SrIrye kariRa iti
sp002-001886_RV_05	ata eva yudDAdanyatra iti dyotanArTameva vanyagrahaRam kftam
sp002-001887_RV_05	sa iti
sp002-001888_RV_05	sa gajaH vidDamAtraH tAqitamAtraH kila na tu prahftaH taTApi nAgarUpam gajaSarIram utsfjya tena vfttAntena vismitEH sEnyEH rdfzwaH san
sp002-001889_RV_05	sPurataH praBAmaRqalasya maDyavarti kAntam manoharam vyomacaram vapuH divyam SarIram prapede prApa
sp002-001890_RV_05	aTeti
sp002-001891_RV_05	aTa praBAvena upanatEH prAptEH kalpadrumotTEH kalpavfkzotpannEH puzpEH kumAram ajam
sp002-001892_RV_05	avakIrya aBivfzya puzpavfzwim prakIrya ityarTaH
sp002-001893_RV_05	daSanapraBABiH dantakAntiBiH saMvarDitAH uraHsTale ye tArahArAH sTUlamuktAhArAH te yena sa taToktaH
sp002-001894_RV_05	vAcoऽsya santIti vAgmI vaktA
sp002-001895_RV_05	vAco gminiH iti gminipratyayaH
sp002-001896_RV_05	sa puruzaH uvAca
sp002-001897_RV_05	mataNgeti
sp002-001898_RV_05	avalepamUlAt garvahetukAt
sp002-001899_RV_05	avalepastu garve syAt lepane dvezaReऽpi ca iti viSvaH
sp002-001900_RV_05	mataNgasya muneH SApAt mataNgajatvam mataNgajo gajo nAga ityamaraH
sp002-001901_RV_05	avAptavAn prAptavAnasmi
sp002-001902_RV_05	mAm priyadarSanasya priyadarSanAKyasya ganDarvapateH ganDarvarAjasya tanUjam putram
sp002-001903_RV_05	striyAm mUrtistanustanUH ityamaraH
sp002-001904_RV_05	tanvAdervA ityUN iti kecit
sp002-001905_RV_05	priyaMvadam priyaMvadAKyam avehi jAnIhi
sp002-001906_RV_05	priyam vadatIti priyaMvadaH
sp002-001907_RV_05	priyavaSe vadaH Kac iti KacpratyayaH
sp002-001908_RV_05	sa iti
sp002-001909_RV_05	saH maharzirmataNgaSca praRatena namreRa mayA anunItaH san paScAt mfdutAm SAntimagacCat
sp002-001910_RV_05	dayArdroBUdityarTaH
sp002-001911_RV_05	taTAhi jalasya uzRatvam agnerAtapasya vA samprayogAt samparkAt
sp002-001912_RV_05	na tu prakftyA uzRatvam
sp002-001913_RV_05	yat SEtyam SItalatvam sA SItalatA prakftiH svaBAvaH
sp002-001914_RV_05	viDeyaprADAnyAt sA iti strIliNganirdeSaH
sp002-001915_RV_05	maharzIRAmapi SAntireva svaBAvaH na kroDa iti BAvaH
sp002-001916_RV_05	ikzvAkviti
sp002-001917_RV_05	ikzvAkuvaMSaH praBavo yasya saH ajaH yadA te tava kumBam ayomuKena lohAgreRa SareRa
sp002-001918_RV_05	Betsyati vidArayizyati tadA svena vapuzo mahimnA punaH saMyokzyase saNgaMsyase
sp002-001919_RV_05	iti anena prakAreRa saH taponiDiH tapasAm sTAnaBUtaH mataNgaH mAmavocat
sp002-001920_RV_05	sammocita iti
sp002-001921_RV_05	ciram prArTitam cirakAlam kANkzitam darSanam yasya tena sattvavatA balavatA tvayA aham SApAt samocitaH mokzam prApitaH
sp002-001922_RV_05	BavataH pratipriyam pratyupakAram na kuryAm cet me svapadopalAbDiH svasTAnaprAptiH
sp002-001923_RV_05	padam vyavasitatrARasTAnalakzmANGrivastuzu ityamaraH
sp002-001924_RV_05	vfTA syAdDi
sp002-001925_RV_05	vyarTaketu vfTA muDA ityamaraH
sp002-001926_RV_05	taduktam pratikartumaSaktasya jIvitAnmaraRam varamiti
sp002-001927_RV_05	sammohanamiti
sp002-001928_RV_05	he saKe saKiSabdena samaprARatoktA
sp002-001929_RV_05	yaToktam atyAgasahano banDuH sadEvAnugataH suhft
sp002-001930_RV_05	ekakriyam Bavenmitram samaprARaH saKA mataH
sp002-001931_RV_05	iti
sp002-001932_RV_05	prayogasaMhArayoH viBaktaH mantraH yasya tat taToktam viniyuktamantramityarTaH
sp002-001933_RV_05	gAnDarvam ganDarvadevatAkam
sp002-001934_RV_05	sammohyate anena iti sammohanam nAma mama astram Adatsva gfhARa
sp002-001935_RV_05	yataH yasmAt prayoktuH astraprayogiRaH arihiMsA ca
sp002-001936_RV_05	na vijayaSca haste hastagataH
sp002-001937_RV_05	vijayo BavatItyarTaH
sp002-001938_RV_05	vaDalajjitaH kaTamasragrahaRaparaH syAm iti cet tatrAha
sp002-001939_RV_05	alamiti
sp002-001940_RV_05	kim ca
sp002-001941_RV_05	mAm prati hriyA prahAranimittayA lajjayA alam
sp002-001942_RV_05	alam BUzaRaparyAptiSaktivAraRavAcakam ityamaraH
sp002-001943_RV_05	kutaH
sp002-001944_RV_05	yadyato hetoH tvam mAm praharannapi muhUrtam dayAparaH kfpAluH aBUH
sp002-001945_RV_05	tattasmAt kAraRAt upacCandayati prArTayamAne mayi tvayA
sp002-001946_RV_05	pratizeDaH parihAraH
sp002-001947_RV_05	sa eva rOkzyam pAruzyam na prayojyam na kartavyam
sp002-001948_RV_05	taTeti
sp002-001949_RV_05	nA somaScandra iva nfsomaH
sp002-001950_RV_05	soma ozaDicandrayoH iti SASvataH
sp002-001951_RV_05	puruzaSrezWa ityarTaH
sp002-001952_RV_05	upamitasamAsaH
sp002-001953_RV_05	astravit astrajYaH saH ajaH taTeti somAt udBavaH yasyAH tasyAH somodBavAyAH saritaH narmadAyAH
sp002-001954_RV_05	revA tu narmadA somodBavA meKalakanyakA ityamaraH
sp002-001955_RV_05	pavitram payaH upaspfSya pItvA Acamya ityarTaH
sp002-001956_RV_05	udaNmuKa san nigfhItaSApAt nivartitaSApAt upakftAt ityarTaH
sp002-001957_RV_05	tasmAt priyaMvadAt astramantram jagrAha
sp002-001958_RV_05	evamiti
sp002-001959_RV_05	evam aDvani mArge dEvayogAt dEvavaSAt acintyahetu anirDAryahetukam saKyam saKitvam
sp002-001960_RV_05	saKyuryaH iti yapratyayaH
sp002-001961_RV_05	AseduzoH prAptavatoH tayormaDye eko ganDarvaH cEtraraTasya kuberodyAnasya pradeSAn
sp002-001962_RV_05	asyodyAnam cetraraTam ityamaraH
sp002-001963_RV_05	aparaH ajaH sOrAjyena rAjanvattayA ramyAn vidarBAn vidarBadeSAn yayO
sp002-001964_RV_05	tamiti
sp002-001965_RV_05	nagarasya upakaRWe samIpe tasTivAMsam sTitam tam ajam tasya ajasya Agamena ArUQaH
sp002-001966_RV_05	utpannaH guruH praharzaH yasya saH kraTakESikendraH vidarBarAjaH
sp002-001967_RV_05	pravfdDormiH UrmimAlI samudraH candramiva pratyujjagAma
sp002-001968_RV_05	praveSyeti
sp002-001969_RV_05	saH BojaH enam ajam agrayAyI sevADarmeRa puro gacCannityarTaH
sp002-001970_RV_05	nIcEH namraH puram praveSya praveSam kArayitvA prItyA arpitA SrIryena sa taToktaH san taTA tena prakAreRa upAcarat upacaritavAn
sp002-001971_RV_05	yaTA yena prakAreRa tatra pure sametaH militaH janaH vEdarBam Bojam Agantum atiTimityarTaH
sp002-001972_RV_05	syAt AveSika AganturatiTirnA gfhAgataH ityamaraH
sp002-001973_RV_05	mene ajam gfheSam gfhapatim mene
sp002-001974_RV_05	tasyeti
sp002-001975_RV_05	raGupratiniDiH raGukalpaH
sp002-001976_RV_05	raGutulya ityarTaH
sp002-001977_RV_05	uktam ca daRqinA sAdfSyavAcakaprastAve kalpadeSIyadeSyAdi praKyapratiniDI api iti
sp002-001978_RV_05	saH ajaH praRatEH namaskftavadBiH kartari ktaH
sp002-001979_RV_05	tasya Bojasya aDikAraH niyogaH tasya puruzEH
sp002-001980_RV_05	aDikftErityarTaH
sp002-001981_RV_05	pradizwAm nirdizwAm prAgdvArasya vedyAm viniveSitaH pratizWApitaH pUrRakumBo yasyAstAm
sp002-001982_RV_05	sTApitamaNgalakalaSAmityarTaH
sp002-001983_RV_05	ramyAm ramaRIyAm navopakAryAm nUtana Bavanam
sp002-001984_RV_05	upakAryA rAjasadmani upacAraciteऽnyavat iti viSvaH
sp002-001985_RV_05	madanaH manmaTaH bAlyAtparAm SESavAnantarAm daSAm yOvanamiva ityarTaH
sp002-001986_RV_05	aDyuvAsa aDizWitavAn
sp002-001987_RV_05	upAnvaDyANvasaH iti karmatvam
sp002-001988_RV_05	tatreti
sp002-001989_RV_05	tatra upakAryAyAm
sp002-001990_RV_05	svayaMvaranimittam samAhftaH sammelitaH rAjaloko yena tat kamanIyam spfhaRIyam kanyAlalAma kanyAsu SrezWam
sp002-001991_RV_05	lalAmoऽsrI lalAmApi praBAve puruze Dvaje
sp002-001992_RV_05	SrezWaBUzASuRqaSfNgapucCacihnASvaliNgizu iti yAdavaH
sp002-001993_RV_05	lipsoH labDumicCoH
sp002-001994_RV_05	laBeH sannantAdupratyayaH
sp002-001995_RV_05	ajasya BAvAvaboDe puruzasya aBiprAyaparijYAne kaluzA asamarTA dayiteva
sp002-001996_RV_05	priyatameva rAtrO nidrA cireRa bahukAlena nayanABimuKI baBUva
sp002-001997_RV_05	rAjAnam kAminam cOram praviSanti prajAgarAH iti BAvaH
sp002-001998_RV_05	aBimuKISabdaH NIzantaH cvyanto vA
sp002-001999_RV_05	tamiti
sp002-002000_RV_05	karRaBUzaRAByAm nipIqitO pIvarO pInO aMsO yasya tam
sp002-002001_RV_05	SayyAyAH uttaracCadasya uparyAstaraRasya vastrasya vimardena GarzaRena kfSaH viralaH aNgarAgaH yasya tam
sp002-002002_RV_05	na tvaNganAsaNgAditi BAvaH
sp002-002003_RV_05	praTitapraboDam prakfzwajYAnam tamenam ajam savayasaH samAnavayaskAH udAravAcaH pragalBagiraH sUtAtmajAH vandiputrAH
sp002-002004_RV_05	vEtAlikA iti vA pAWaH
sp002-002005_RV_05	vEtAlikA boDakarAH ityamaraH
sp002-002006_RV_05	vAgBiH stutipAWEH uzasi prAtaHkAle prAboDayan praboDayAmAsuH
sp002-002007_RV_05	rAtririti
sp002-002008_RV_05	he matimatAm vara
sp002-002009_RV_05	budDimatAm SrezWa nirDAraRe zazWI
sp002-002010_RV_05	rAtriH gatA
sp002-002011_RV_05	SayyAm muYca
sp002-002012_RV_05	vinidro Bava ityarTaH
sp002-002013_RV_05	vinidratvasya PalamAha DAtreti
sp002-002014_RV_05	DAtrA brahmaRA jagataH DUH BAraH DUH syAd yAnamuKe BAre iti yAdavaH
sp002-002015_RV_05	dviDEva
sp002-002016_RV_05	dvayoreva ityarTaH
sp002-002017_RV_05	evakAraH tftIyanizeDArTaH
sp002-002018_RV_05	viBaktA nanu viBajya sTApitA Kalu
sp002-002019_RV_05	tatkimata Aha tAm Duram ekataH ekatra kowO tava guruH pitA vinidraH san biBarti
sp002-002020_RV_05	tasyAH DuraH BavAn
sp002-002021_RV_05	Duram vahatIti DuryaH BAravAhI
sp002-002022_RV_05	tasya padam vahanasTAnam
sp002-002023_RV_05	aparam yadDuryapadam tat avalambata iti
sp002-002024_RV_05	apara Durya padAvalambI ato vinidro Bava ityarTaH
sp002-002025_RV_05	na hi uBayavAhyameko vahatIti BAvaH
sp002-002026_RV_05	nidreti
sp002-002027_RV_05	candrAravindarAjavadanAdayaH lakzmInivAsasTAnAni iti prasidDimASritya ucyate
sp002-002028_RV_05	nidrAvaSena nidrADInena
sp002-002029_RV_05	stryantarAsaNgoऽtra Dvanyate
sp002-002030_RV_05	BavatA tvayA paryutsukatvamapi
sp002-002031_RV_05	tvay anuraktatvamapi ityarTaH
sp002-002032_RV_05	prasitotsukAByAm tftIyA ca iti saptamyarTe tftIyA
sp002-002033_RV_05	apiSabdaH tadvizayAnurAgasya anapekzyatva dyotanArTaH
sp002-002034_RV_05	niSi KaRqitA BarturanyAsaNgajYAnakaluzita abaleva nAyikeva
sp002-002035_RV_05	jYAteऽnyAsaNgavikfte KaRqita IrzyA kazAyitA iti daSarUpake
sp002-002036_RV_05	anavekzamARA avicArayantI satI
sp002-002037_RV_05	upekzamARA ityarTaH
sp002-002038_RV_05	hyanavekzyamARA iti pAWe nidrAvaSena BavatA anavekzyamARA anirIkzyamARA
sp002-002039_RV_05	karmaRi SAnac
sp002-002040_RV_05	lakzmIH prayojakakartrI
sp002-002041_RV_05	yena
sp002-002042_RV_05	candreRa prayojyena
sp002-002043_RV_05	paryutsukatvam tadvirahavedanAm
sp002-002044_RV_05	BartfjanyavirahavedanAm ca kAlAkzamatvamOtsukyam manastApajvarAdikft iti alaNkAre
sp002-002045_RV_05	vinodayati nirAsayatIti yojanA
sp002-002046_RV_05	Sezam pUrvavat
sp002-002047_RV_05	nATastu nijarTopapattimapaSyan imam pakzamupEkzizwa
sp002-002048_RV_05	lakzmIH yena candreRa saha
sp002-002049_RV_05	tvadAnanasadfSatvAditi BAvaH
sp002-002050_RV_05	vinodayati vinodam karoti
sp002-002051_RV_05	vinodaSabdAt tatkaroti tadAcazwe iti Ric
sp002-002052_RV_05	sAdfSyadarSanAdayo hi virahiRAm vinodasTAnAni iti BAvaH
sp002-002053_RV_05	saH candroऽpi digantalambI paScimASAntagataH san
sp002-002054_RV_05	astam gacCannityarTaH
sp002-002055_RV_05	ata eva tvadAnanarucim tava muKakAntim vijahAti
sp002-002056_RV_05	tvanmuKasAdfSyam tyajati ityarTaH
sp002-002057_RV_05	ataH nidrAm vihAya tAm lakzmIm ananyaSaraRAm pIragfhARA ityarTaH
sp002-002058_RV_05	taditi
sp002-002059_RV_05	tat tasmAt lakzmIparigrahAt kAraRAt valgunA manojYena
sp002-002060_RV_05	valgu sTAne manojYe ca valgu BAzitamanyavat iti viSvaH
sp002-002061_RV_05	yugapattAvat unmizitena yugapadeva unmIlitena sadyaH dve api parasparatulAm anyonyasAdfSyam aDirohatAm prApnutAm
sp002-002062_RV_05	prArTanAyAm low
sp002-002063_RV_05	te dve
sp002-002064_RV_05	antaH praspandamAnA calantI paruzetarA snigDA tArA kanInikA yasya tattaToktam
sp002-002065_RV_05	tArakAkzRaH kanInikA ityamaraH
sp002-002066_RV_05	tava cakzuH
sp002-002067_RV_05	antaH pracalitaBramaram caladBfNgam padmam ca
sp002-002068_RV_05	yugapad unmeze sati sampUrRasAdfSyalABaH iti BAvaH
sp002-002069_RV_05	vfntAditi
sp002-002070_RV_05	viBAtavAyuH praBAtavAyuH svABAvikam nEsargikam te tava muKamArutasya niSvAsapavanasya sOraByam
sp002-002071_RV_05	tAdfksOganDyamityarTaH
sp002-002072_RV_05	paraguRena anyadIyaguRena
sp002-002073_RV_05	sANkrAmikaganDena ityarTaH
sp002-002074_RV_05	IpsuH AptumicCuH iva
sp002-002075_RV_05	Ap jYap vfDAmIditi IkArAdeSaH
sp002-002076_RV_05	anokahAnAm vfkzARAm SlaTam SiTilam puzpam vfntAt prasavabanDanAt
sp002-002077_RV_05	vfntam prasavabanDanam ityamaraH
sp002-002078_RV_05	harati Adatte
sp002-002079_RV_05	aruRAMSuBinnEH taraRikiraRodboDitEH sarasiyEH kamalEH saha
sp002-002080_RV_05	tatpuruze kfti bahulamiti saptamyA aluk
sp002-002081_RV_05	saMsfjyate saNgacCate
sp002-002082_RV_05	sfjeH dEvAdikAt kartari law
sp002-002083_RV_05	tAmreti
sp002-002084_RV_05	tAmrodarezu aruRAByantarezu tarupallavezu drumapallavezu pallavostrI kisalayam ityamaraH
sp002-002085_RV_05	patitam nirDOtAH yAH hAragulikAH muktAmaRayaH tadvat viSadam svacCam himAmBaH labDaparaBAgatayA labDotkarzatayA
sp002-002086_RV_05	paraBAgo guRotkarze iti yAdavaH
sp002-002087_RV_05	aDarozWe tvadIyam tvatsambanDi sadaSanArciH dantakAntisahitam lIlAsmitamiva ABAti
sp002-002088_RV_05	yAvaditi
sp002-002089_RV_05	pratApaniDiH tejoniDiH BAnuH sUryaH yAvat nA kramate nodgacCati
sp002-002090_RV_05	ANa udgamane iti Atmanepadam
sp002-002091_RV_05	tAvat
sp002-002092_RV_05	BAnO anudite eva ityarTaH
sp002-002093_RV_05	ahnAya Jawiti
sp002-002094_RV_05	drAgJawityaYjasAhnAya ityamaraH
sp002-002095_RV_05	aruRena anUruRA
sp002-002096_RV_05	sUryasUtoऽruRoऽnUruH ityamaraH
sp002-002097_RV_05	tamaH nirastam
sp002-002098_RV_05	taTAhi
sp002-002099_RV_05	he vIra tvay AyoDanezu yudDezu
sp002-002100_RV_05	agrasaratAm puraHsaratAm yAte sati tava guruH pitA ripUn svayam ucCinatti kim vA
sp002-002101_RV_05	nocCinattyeva ityarTaH
sp002-002102_RV_05	na Kalu yogyaputra nyastaBArARAm svAminAm svayam vyApAraKedaH iti BAvaH
sp002-002103_RV_05	SayyAmiti
sp002-002104_RV_05	uBAByAm pakzAByAm vinItA vyapanItA nidrA yEH hi te uBayapakzavinItanidrAH
sp002-002105_RV_05	tatra samAsavizaye uBaSabdasTAne uBayaSabdaprayoga eva sADuH iti anusanDeyam
sp002-002106_RV_05	yaTAha kEyawaH uBAdudAtto nityamiti nityagrahaRasya idam prayojanam vfttivizaye uBaSabda prayogo mA BUt
sp002-002107_RV_05	uBayaSabdasyEva yaTA syAt
sp002-002108_RV_05	uBayaputra ityAdi BavatIti
sp002-002109_RV_05	muKarARi utTAnacalanAt SabdAyamAnAni SfNKalAni nigalAni karzantIti
sp002-002110_RV_05	taToktAH te tava stambe ramanta iti stamberamAH hastinaH
sp002-002111_RV_05	stambakarRayo ramijapoH iti acpratyayaH
sp002-002112_RV_05	hastisUcakayoH iti vaktavyAm
sp002-002113_RV_05	iBaH stamberamaH padmI ityamaraH
sp002-002114_RV_05	tatpuruze kfti bahulamiti saptamyA aluk
sp002-002115_RV_05	SayyAm jahati tyajanti yezAm stamberamARAm
sp002-002116_RV_05	dantAH koSAH iva dantakoSAH
sp002-002117_RV_05	dantakuqmalAH taruRAruRarAgayogAt bAlArka kiraRasamparkAt hetoH BinnAdrigErikatawA iva viBAnti
sp002-002118_RV_05	DAturaktA iva BAntItyarTaH
sp002-002119_RV_05	dIrGezviti
sp002-002120_RV_05	he vanajAkza nIrajAkza
sp002-002121_RV_05	vane salila kAnane ityamaraH
sp002-002122_RV_05	dIrGezu pawamaRqapezu niyamitAH badDAH vanAyudeSyAH vanAyudeSodBavAH
sp002-002123_RV_05	pArasIkA vanAyujAH iti halAyuDaH
sp002-002124_RV_05	amI vAhAH aSvAH nidrAm vihAya purogatAni lehyAni AsvAdyAni sEnDavaSilASakalAni
sp002-002125_RV_05	sEnDavo lavaRa viSezaH sEnDavoऽstrI SItaSivam mARimanTam ca sinDuje ityamaraH
sp002-002126_RV_05	tasya SakalAni KaRqAni vaktrozmaRA malinayanti malinAni kurvanti
sp002-002127_RV_05	uktam ca sidDayogasaNgrahe pUrvAhRakAle cASvAnAm prAyaSo lavaRam hitam
sp002-002128_RV_05	aruciglAniSUlaGnam lavaRam sEnDavam varam
sp002-002129_RV_05	iti
sp002-002130_RV_05	BavatIti
sp002-002131_RV_05	mlAnaH puzpopahAraH puzpapUjA mlAnatvAdeva viralaBaktiH viralaracano Bavati
sp002-002132_RV_05	pradIpASca svakiraRAnAm parivezasya maRqalasya udBedena sPuraRena SUnyA Bavanti
sp002-002133_RV_05	nistejaskA BavantItyarTaH
sp002-002134_RV_05	api ca ayam maYjuvAk maDuravacanaH paYjarasTaH te tava SukaH tvatpraboDanimittena prayuktAm uccAritAm naH asmAkam giram vARIm anuvadati
sp002-002135_RV_05	anukftya vadatItyarTaH
sp002-002136_RV_05	itTam praBAtaliNgAni vartante
sp002-002137_RV_05	ataH prabodDavyamiti BAvaH
sp002-002138_RV_05	itIti
sp002-002139_RV_05	iti itTam viracitavAgBiH vandiputrEH vEtAlikEH
sp002-002140_RV_05	putragrahaRam samAnavayaskatvadyotanArTam
sp002-002141_RV_05	sapadi vigatanidraH kumAraH
sp002-002142_RV_05	ajaH talpam SayyAm
sp002-002143_RV_05	talpam SayyAwwadArezu ityamaraH
sp002-002144_RV_05	ujJAYcakAra visasarja
sp002-002145_RV_05	ijAdeSca gurumatoऽnfcCaH iti AmpratyayaH
sp002-002146_RV_05	kaTamiva
sp002-002147_RV_05	madena pawu maDuram ninadadBiH rAjahaMsEH boDitaH supratIkAKyaH suragajaH ISAnadiggajaH
sp002-002148_RV_05	gaNgAyAH idam gANgam
sp002-002149_RV_05	sEkatam pulinamiva
sp002-002150_RV_05	toyotTitam tatpulinam sEkatam sikatAmayam ityamaraH
sp002-002151_RV_05	sikatASarkarAByAm ca iti aRpratyayaH
sp002-002152_RV_05	supratIkagrahaRam prAyaSaH tasya kElAsavAsitvAt nitya gaNgAtawavihArasamBavArTam iti anusanDeyam
sp002-002153_RV_05	aTeti
sp002-002154_RV_05	aTa utTAnAnantaram aYcitAni cArURi akzipakzmARi yasya saH ajaH SAstre dfzwamavagatam
sp002-002155_RV_05	divasamuKocitam divasamuKe prAtaHkAle ucitam karaRIyam viDim anuzWAnam avasAyya samApya
sp002-002156_RV_05	syateH RyayantAt lyap
sp002-002157_RV_05	kuSalEH prasADanadakzEH viracitaH anukUlaH svayaMvarocitaH vezaH
sp002-002158_RV_05	nepaTyam yasya sa taToktaH san svayaMvarasTam kzitipasamAjam rAjasamUham agAt
sp002-002159_RV_05	iRo gA luNIti gAdeSaH
sp002-002160_RV_05	puzpitAgrAvfttametat
sp002-002161_RV_05	taduktam ayuji nayugarePato yakAro yuji ca najO jaragASca puzpitAgrA iti lakzaRAt
sp002-002162_RV_05	iti mahAmahopADyAya kolAcalamallinATasUriviracitayA saYjIvinIsamAKyayA
sp002-002163_RV_05	vyAKyayA sametaH mahAkaviSrIkAlidAsakftO raGuvaMSe mahAkAvye
sp002-002164_RV_05	ajasvayaMvarABigamano nAma paYcamaH sargaH
sp002-002165_RV_07	aTeti
sp002-002166_RV_07	aTa vidarBanATo BojaH sadfSena upayantrA vareRa yuktAm
sp002-002167_RV_07	ata eva sAkzAtpratyakzam
sp002-002168_RV_07	sAkzAtpratyakzatulyayoH ityamaraH
sp002-002169_RV_07	skandena yuktAm devasenAmiva
sp002-002170_RV_07	devasenA nAma devaputrI skandapatnI tAmiva sTitAm svasAram
sp002-002171_RV_07	BaginIm indumatImAdAya gfhItvA purapraveSABimuKo baBUva
sp002-002172_RV_07	upajAtivfttam sargeऽsmin
sp002-002173_RV_07	seneti
sp002-002174_RV_07	Bojasya rAjYaH gotrApatyam strI BojyA tAm indumatIm prati vyarTamanoraTatvAt
sp002-002175_RV_07	rUpezu Akftizu veSezu nepaTyezu ca sAByasUyA vfTeti nindantaH
sp002-002176_RV_07	kiYca
sp002-002177_RV_07	viBAte prAtaHkAle ye grahAH candrAdayaH te iva mandaBAsaH
sp002-002178_RV_07	kzIRakAntayaH pfTivIkzito nfpAH api senAniveSAn SibirARi jagmuH
sp002-002179_RV_07	nanu krudDASacet yuDyantAm tatrAha
sp002-002180_RV_07	sAnniDyayogAditi
sp002-002181_RV_07	tatra svayaMvarakzetre SacyAH indrARyAH
sp002-002182_RV_07	sanniDireva sAnniDyam
sp002-002183_RV_07	tasya yogAtsadBAvAt hetoH svayaMvarasya kzoBakftAm viGnakAriRAm aBAvaH
sp002-002184_RV_07	kila kileti svayaMvaraviGAtakAH SacyA vinASyante iti AgamasUcanArTam
sp002-002185_RV_07	tena hetunA kAkutsTam ajam uddiSya samatsaroऽpi savEroऽpi kzitipAlalokaH SaSAma nAkzuByat
sp002-002186_RV_07	tAvaditi
sp002-002187_RV_07	yAvattAvacca sAkalye ityamaraH
sp002-002188_RV_07	tAvatprakIrRAH sAkalyena prasAritAH aBinavA nUtanA upacArAH puzpaprakarAdayo yasya tam taToktam
sp002-002189_RV_07	indrAyuDAnIva dyotitAni prakASitAni toraRAni aNkAH cihnAni yasya tam
sp002-002190_RV_07	DvajAnAm CAyA DvajacCAyam CAyA bAhulye iti napuMsakatvam
sp002-002191_RV_07	tena nivAritaH uzRaH AtapaH yatra tam taTA rAjamArgam sa varo voQA vaDvA saha prApa viveSa
sp002-002192_RV_07	tataH iti
sp002-002193_RV_07	tatastadanantaram cAmIkarajAlavatsu sOvarRagavAkzayuktezu sODezu tasya ajasya Alokane tatparARAm AsaktAnAm
sp002-002194_RV_07	purasundarIRAm itTam vakzyamARaprakArARi tyaktAni anyakAryARi keSabanDanAdIni yezu tAni vicozwitAni vyApArAH
sp002-002195_RV_07	napuMsake BAve ktaH
sp002-002196_RV_07	baBUvuH
sp002-002197_RV_07	tAnyevAha paYcaBiH SlokEH
sp002-002198_RV_07	AlokamArgamiti
sp002-002199_RV_07	sahasA AlokamArgam gavAkzapaTam vrajantyA kayAcit kAminyA udvezwana vAntamAlyaH
sp002-002200_RV_07	udvezwano drutagativaSAt unmuktabanDanaH
sp002-002201_RV_07	ata eva vAntamAlyo banDaviSlezeRa udgIrRamAlyaH
