sp003-000001_RV_03	rAjYI sudakziRA garBamADatta ityuktam
sp003-001808_RV_10	anena smftikAryeREva tvayi tvadvizaye yAH SezAH avaSizwAH
sp003-001809_RV_10	vfttayaH darSanasparSanAdayaH vyApArAH tAH niveditaPalAH vijYApitakAryAH
sp003-001810_RV_10	tava smaraRasyeva etatPalam darSanAdInAm tu kiyaditi nAvaDArayAmaH iti BAvaH
sp003-001811_RV_10	udaDeriti
sp003-001812_RV_10	udaDeH ratnAnIva
sp003-001813_RV_10	vivasvataH tejAMsIva
sp003-001814_RV_10	dUrARi avANmanasagocarARi te caritAni stutiByaH vyatiricyante
sp003-001815_RV_10	niHSezam stotum na Sakyante ityarTaH
sp003-001816_RV_10	anavAptamiti
sp003-001817_RV_10	anavAptam aprAptam
sp003-001818_RV_10	avAptavyam prAptavyam te tava kiYcana kiYcidapi na vidyate
sp003-001819_RV_10	nityaparipUrRatvAt iti BAvaH
sp003-001820_RV_10	tarhi kinnibanDane janmakarmaRI tatrAha loketi
sp003-001821_RV_10	ekaH lokAnugrahaH eva te tava janmakarmaRorhetuH
sp003-001822_RV_10	paramakAruRikasya te parArTEva pravfttiH
sp003-001823_RV_10	na svArTA ityarTaH
sp003-001824_RV_10	mahimAnamiti
sp003-001825_RV_10	tava mahimAnam utkIrtya vacaH saMhriyate iti yat
sp003-001826_RV_10	tat vacaH saMharaRam SrameRa vAgvyApAraSrAntyA
sp003-001827_RV_10	aSaktyA kAtsnaryena vaktum aSakyatvAdvA guRAnAm iyattA etAvanmAtratayA na
sp003-001828_RV_10	tezAm AnantyAditi BAvaH
sp003-001829_RV_10	itIti
sp003-001830_RV_10	iti te surAH tam aDoBUtam akzajam indriyajam jYAnam yasmin tam aDokzajam vizRum
sp003-001831_RV_10	prasAdayAmAsuH prasannam cakruH
sp003-001832_RV_10	hi yasmAt paramezWinaH sarvottamasya tasya devasya sA devEH kftA
sp003-001833_RV_10	BUtArTavyAhftiH BUtasya satyasya arTasya vyAhftiH uktiH
sp003-001834_RV_10	yukte kzmAdAvfte BUtam ityamaraH
sp003-001835_RV_10	na stutiH na praSaMsAmAtram
sp003-001836_RV_10	mahAnto hi yaTAkaTaYcinna sulaBAH iti BAvaH
sp003-001837_RV_10	parame sTAne tizWatIti paramezWI
sp003-001838_RV_10	parame sTaH kit ityuRAdisUtreRa tizWateH iniH
sp003-001839_RV_10	tatpuruze kfti bahulam iti saptamyAH aluk
sp003-001840_RV_10	sTAsTinsTURAm iti vaktavyAtzatvam
sp003-001841_RV_10	tasmA iti
sp003-001842_RV_10	surAH devAH kuSalasya sampraSnena vyaYjitA prakawIkftA prItiH yasya tasmE
sp003-001843_RV_10	lakzitaprasAdAya ityarTaH
sp003-001844_RV_10	anyaTA anavasaravijYaptiH muKarARAmiva nizPalA syAditi BAvaH
sp003-001845_RV_10	tasmE vizRave apralaye pralayABAvepi udvelAt unmaryAdAt
sp003-001846_RV_10	nErfto rAkzasaH
sp003-001847_RV_10	sa eva udaDiH
sp003-001848_RV_10	tasmAt BayAt tasmAt Bayam AcaKyuH kaTitavantaH
sp003-001849_RV_10	aTeti
sp003-001850_RV_10	aTa velAyAm abDikUle samAsannAnAm sannikfzwAnAm SElAnAm ranDrezu gahvarezu anunAdinA
sp003-001851_RV_10	pratiDvanimatA svareRa pariBUtArRavaDvaniH tiraskftasamudraGozaH
sp003-001852_RV_10	tiraskftasamudraGozaH BagavAn uvAca
sp003-001853_RV_10	purARasyeti
sp003-001854_RV_10	purARasya cirantanasya kaveH tasya BagavataH varRasTAnezu uraHkaRWAdizu samIritAH
sp003-001855_RV_10	samyak uca
sp003-001856_RV_10	samIritA samyak uccAritA
sp003-001857_RV_10	ata eva kftaH sampAditaH saMskAraH sADusta sADutvaspazwatAdiprayatnaH
sp003-001858_RV_10	yasyAH sA BAratI vARI caritArTA kftArTA baBUvEva
sp003-001859_RV_10	evakArastu asamBAvanAviparIta BAvanA vidAsArTaH
sp003-001860_RV_10	baBAviti
sp003-001861_RV_10	viBoH vizRoH vadanAt udgatA niHsftA
sp003-001862_RV_10	sadaSanajyotsnA dantakAntisahitA
sp003-001863_RV_10	idam ca viSezaRam DAvalyAtiSayArTam
sp003-001864_RV_10	ata eva sA BAratI caraRAt aNGreH niryAtA ca asO SezA ca niryAtaSezA
sp003-001865_RV_10	niHsftO niHsftAvaSizwA ityarTaH
sp003-001866_RV_10	striyAH puMvat ityanuvartya puMvatkarmaDAraya iti puMvadBAvaH
sp003-001867_RV_10	niryAtaSabdasya yA niryAtA sAvaSezA sA gaNgA gaNgeveti sAmAnADikaraRyanirvAhaH
sp003-001868_RV_10	niryAtAyAH Sezeti vigrahe puMvadBAvo durGawa eva
sp003-001869_RV_10	UrDvapravartinI UrDvavAhinI gaNgeva
sp003-001870_RV_10	baBO ityutprekzA
sp003-001871_RV_10	yadAha BagavAMstadAha
sp003-001872_RV_10	jAna iti
sp003-001873_RV_10	he devAH vaH yuzmAkam anuBAvaparAkramO mahimapuruzakArO rakzasA rAvaRena
sp003-001874_RV_10	aNginAm SarIriRAm praTamamaDyamA uBO guRO satvarajasI tamaseva tamoguReneva AkrAntO jAne
sp003-001875_RV_10	vAkyArTaH karma
sp003-001876_RV_10	viditamiti
sp003-001877_RV_10	kiYca akAmena anicCayA upanatena pramAdAt Agatena
sp003-001878_RV_10	enasA pApena sADoH sajjanasya hfdayamiva
sp003-001879_RV_10	tena rakzasA tapyamAnam santapyamAnam
sp003-001880_RV_10	tapeH BOvAdikAt karmaRi SAnac
sp003-001881_RV_10	Buvanatrayam ca Buvanatrayam ca me viditam
sp003-001882_RV_10	mayA jYAyate ityarTaH
sp003-001883_RV_10	matibudDi ityAdinA vartamAne ktaH
sp003-001884_RV_10	ktasya ca vartamAne iti zazWI
sp003-001885_RV_10	kAryezviti
sp003-001886_RV_10	kiYca ekakAryatvAt AvayoH ekakAryakatvAdDetoH
sp003-001887_RV_10	kAryezu kartavyArTezu vizayezu vajriRA indreRa aByarTyaH
sp003-001888_RV_10	idam kuru iti prArTanIyaH nAsmi
sp003-001889_RV_10	taTAhi
sp003-001890_RV_10	vAtaH svayameva agneH sAraTyam sAhAyyam pratipadyate prApnoti
sp003-001891_RV_10	na tu vahniprArTanayA
sp003-001892_RV_10	ityevakArArTaH
sp003-001893_RV_10	prekzAvatAm hi svArTezu svata eva pravfttiH na tu paraprArTanayA
sp003-001894_RV_10	svArTaSca ayam mamApItyarTaH
sp003-001895_RV_10	purA kila tripurAriprIRanAya svaSirAMsi CindatA daSakanDareRa
sp003-001896_RV_10	yaddaSamam SiraH avaSezitam tanmaccakrArTamityAha
sp003-001897_RV_10	sveti
sp003-001898_RV_10	svAsiDArayA svaKaqgaDArayA parihftaH
sp003-001899_RV_10	acCinnaH ityarTaH
sp003-001900_RV_10	daSamaH mUrDA me mama
sp003-001901_RV_10	me mama cakrasya kAmam paryAptaH laByAMSaH
sp003-001902_RV_10	prAptavyaBAgaH iva tena rakzasA sTApitaH
sp003-001903_RV_10	tatsarvaTA tamaham hanizyAmItyarTaH
sp003-001904_RV_10	tarhi kim prAgupekzitam ata Aha
sp003-001905_RV_10	srazwuriti
sp003-001906_RV_10	kintu srazwuH brahmaRaH varAtisargAt varadAnAdDetoH
sp003-001907_RV_10	mayA tasya durAtmanaH ripoH rAvaRasya atyArUQam atyArohaRam
sp003-001908_RV_10	ativfdDiH ityarTaH
sp003-001909_RV_10	napuMsake BAve ktaH
sp003-001910_RV_10	BoginaH sarpasya atyArUQam candaneneva soQam
sp003-001911_RV_10	candanadrumasyApi taTA sahanam srazwuH niyateriti drazwavyam
sp003-001912_RV_10	samprati varasvarUpamAha
sp003-001913_RV_10	DAtAramiti
sp003-001914_RV_10	saH rAkzasaH tapasA prItam santuzwam DAtAram brahmARam
sp003-001915_RV_10	martyezu vizaye AsTAparANmuKaH AdaravimuKaH san
sp003-001916_RV_10	martyAn anAdftya ityarTaH
sp003-001917_RV_10	dEvAt azwaviDAt sargAt dEvasfzweH avaDyatvam yayAce hi
sp003-001918_RV_10	tarhi kA gatiH ityASaNkya manuzyAvatAreRa hanizyAmi ityAha
sp003-001919_RV_10	sa iti
sp003-001920_RV_10	soऽham daSaraTasya apatyam pumAn dASaraTiH
sp003-001921_RV_10	ata iY iti iYpratyayaH
sp003-001922_RV_10	rAmaH BUtvA tIkzREH SarEH tasya rAvaRasya SirAMsyeva kamalAni tezAm uccayam rASim
sp003-001923_RV_10	raRaBUmeH valikzamam pUjArham karizyAmi
sp003-001924_RV_10	puzpaviSadA hi pUjA iti BAvaH
sp003-001925_RV_10	acirAditi
sp003-001926_RV_10	he devAH yajvaBiH yAjYikEH viDivat kalpitam upahftam BAgam havirBAgam mAyAviBiH mAyAvadBiH
sp003-001927_RV_10	asmAyAmeDAsrajo viniH iti vinipratyayaH
sp003-001928_RV_10	niSAcarEH rakzoBiH anAlIQam anAsvAditam yaTA taTA acirAt punaH AdAsyaDve grahIzyaDve
sp003-001929_RV_10	vEmAnikA iti
sp003-001930_RV_10	marutAm devAnAm paTi vyomni vEmAnikAH vimAnEScarantaH
sp003-001931_RV_10	carati iti WakpratyayaH
sp003-001932_RV_10	meGAvaraRatatparAH rAvaRaBayAt meGezu antarDAnatatparAH
sp003-001933_RV_10	puRyakftaH sukftinaH puzpakAlokena yadfcCayA
sp003-001934_RV_10	rAvaRavimAnadarSanena yaH saNkzoBaH Bayacakitam tam tyajantu
sp003-001935_RV_10	saNkzoBo Bayacakitam iti SabdArRavaH
sp003-001936_RV_10	mokzyaDva iti
sp003-001937_RV_10	he devAH yUyam SApena nalakUbaraSApena yantritAH pratibadDAH pOlastyasya rAvaRasya
sp003-001938_RV_10	balAtkAreRa ye kacagrahAH keSAkarzAH tEH adUzitAn anupahatAn svargabandInAm
sp003-001939_RV_10	hftasvargANganAnAm veRIbanDAn mokzyaDve
sp003-001940_RV_10	purA kila nalakUbareRa AtmAnam aBisarantyAH ramBAyAH
sp003-001941_RV_10	balAtkAreRa samBogAtkrudDena durAtmA rAvaRaH SaptaH
sp003-001942_RV_10	strIRAm balAdgrahaRe mUrDA te SataDA BavizyatIti BAratIyA kaTA anusanDeyA
sp003-001943_RV_10	rAvaReti
sp003-001944_RV_10	saH kfzRaH vizRuH sa eva meGaH nIlameGaSca
sp003-001945_RV_10	viSravasaH apatyam pumAn iti vigrahe rAvaRaH
sp003-001946_RV_10	viSravaHSabdAt SivAditvAt aRi viSravaso viSravaRaravaRO ityantargaRasUtreRa
sp003-001947_RV_10	viSravaHSabdasya vfttivizaye ravaRAdeSe rAvaRa iti sidDam
sp003-001948_RV_10	sa eva avagrahaH varzapratibanDaH tena klAntam mlAnam marutaH devAH eva sasyam tat
sp003-001949_RV_10	ityevam rUpeRa vAgamftena vAksalilena
sp003-001950_RV_10	amftam yajYaSeze syAt pIyUze salileऽmftam iti viSvaH
sp003-001951_RV_10	aBivfzya aBizicya tirodaDe antardaDe
sp003-001952_RV_10	puruhUteti
sp003-001953_RV_10	puruhUtapraBftayaH indrAdyAH surAH surakArye rAvaRavaDarUpe udyatam vizRum aMSEH mAtrABiH
sp003-001954_RV_10	drumAH puzpEH svAMSEH vAyumiva anuyayuH
sp003-001955_RV_10	sugrIvAdirUpeRa vAnarayonizu jAtAH ityaBiprAyaH
sp003-001956_RV_10	aTeti
sp003-001957_RV_10	aTa tasya viSAm patyuH daSaraTasya sambanDinaH kAmyasya karmaRaH putrakAmezweH ante avasAne
sp003-001958_RV_10	agneH pAvakAtpuruzaH kaSciddivyaH pumAn ftvijAm vismayena saha prabaBUva prAdurbaBUva
sp003-001959_RV_10	tadAvirBAvAt tezAmapi vismayaH aBUdityarTaH
sp003-001960_RV_10	tameva puruzam viSinazwi
sp003-001961_RV_10	hemapAtreti
sp003-001962_RV_10	Adyasya puMsaH vizRoH anupraveSAt aDizWAnAdDetoH tena divyapuruzeRApi durvaham
sp003-001963_RV_10	caturdaSaBuvanodarasya BagavataH hareH atigarIyastvAt voQum aSakyam
sp003-001964_RV_10	hemapAtragatam payasi pakvam varum payaScarum pAyasAnnam dorByAm AdaDAnaH vahan
sp003-001965_RV_10	anavasrAvitaH antarUzmapakva odanaScaruH iti yAjYikAH
sp003-001966_RV_10	rAjApatyeti
sp003-001967_RV_10	nfpaH daSaraTaH prAjApatyena prajApatisambanDinA puruzeRa upanItam na tu vasizWena
sp003-001968_RV_10	prAjApatyam naram vidDi mAmihAByAgatam nfpa iti rAmAyaRAt
sp003-001969_RV_10	tadannam pAyasAnnam udanvatA udaDinA Avizkftam prakASitam payasAm sAram amftam vfzA vAsavaH iva
sp003-001970_RV_10	vAsavo vftrahA vfzA ityamaraH
sp003-001971_RV_10	pratyagrahItsvIcakAra
sp003-001972_RV_10	aneneti
sp003-001973_RV_10	tasya rAjYaH daSaraTasya anyardurlaBAH asADAraRAH guRAH anena kaTitAH vyAKyAtAH
sp003-001974_RV_10	yat yasmAt trayaH lokAH trElokyam
sp003-001975_RV_10	cAturvarRyAditvAt svArTe zyaY tasya praBavaH kAraRam
sp003-001976_RV_10	vizRurapi tasminrAjYi prasUtim utpattim cakame kAmitavAn
sp003-001977_RV_10	triBuvanakAraRasyApi kAraRamiti paramAvaDiH guRasamASrayaH ityarTaH
sp003-001978_RV_10	sa iti
sp003-001979_RV_10	saH nfpaH carusaYjYA asya saYjAtA carusaYjYitam vEzRavam tejaH patnyoH kOsalyAkEkeyyoH
sp003-001980_RV_10	dyOSca pfTivI ca dyAvApfTivyO
sp003-001981_RV_10	divasaSca pfTivyAm iti cakArAddivaSabdasya dyAvAdeSaH
sp003-001982_RV_10	tayoH dyAvApfTivyoH ahnaH patiH aharpatiH
sp003-001983_RV_10	aharAdInAm patyAdizu vA rePaH ityupasaNKyAnAt vEkalpiko rePasya rePAdaSo visargApavAdaH
sp003-001984_RV_10	pratyagram Atapam bAlAtapam iva viBeje
sp003-001985_RV_10	viBajya dadO ityarTaH
sp003-001986_RV_10	patnItraye sati dvayoreva viBAge kAraRamAha
sp003-001987_RV_10	arciteti
sp003-001988_RV_10	tassa rAjYaH kO pfTivyAm salati gacCatIti kosalaH
sp003-001989_RV_10	salagatO pacAdyac
sp003-001990_RV_10	kuSabdasya pfzodarAditvAt guRaH
sp003-001991_RV_10	kosalasya rAjYaH apatyam strI kOsalyA
sp003-001992_RV_10	vfdDet kosalAjAdAYYyaN iti YyaN yaNaScAp iti cAp
sp003-001993_RV_10	ata eva sUtre nirdeSAt kosalaSabdaH dantyasakAramaDyaH
sp003-001994_RV_10	arcitA jyezWA mAnyA
sp003-001995_RV_10	kekayavaMSajA kEkeyI priyA izwA
sp003-001996_RV_10	ato hetoH ISvaraH BartA nfpaH sumitrAm tAByAm kOsalyAkEkeyIByAm
sp003-001997_RV_10	samBAvitAm BAgadAnena mAnitAm EcCat icCati sma
sp003-001998_RV_10	evam ca sAmAnyam tisfRAm ca BAgaprApaRamiti rAjYi ucitajYatA kOSalam ca laByate
sp003-001999_RV_10	ta iti
sp003-002000_RV_10	bahujYasya sarvajYasya ucitajYasya ityarTaH
sp003-002001_RV_10	patyuH mahIkzitaH kzitISvarasya viSezaRatrayeRa rAjYaH anusaraRIyatAmAha
sp003-002002_RV_10	cittajYe aBiprAyajYe te uBe patnyO kOsalyAkEkeyyO caroH yO arDaBAgO
sp003-002003_RV_10	samaBAgO tayoH yO arDO tO ca tO BAgO ca arDaBAgAvekadeSO
sp003-002004_RV_10	tAByAm arDArDaBAgAByAm puMsyarDoऽrDam samiMSake ityamaraH
sp003-002005_RV_10	tAm sumitrAm ayojayatAm yuktAm cakratuH
sp003-002006_RV_10	ayam ca viBAgaH na rAmAyaRasaMvAdI
sp003-002007_RV_10	tatra carorarDam kOsalyAyAH avaSizwArDam kEkeyyE Sizwam punaH sumitrAyAH ityaBiDAnAt
sp003-002008_RV_10	kintu purARAntargatasaMvAdaH drazwavyaH
sp003-002009_RV_10	uktam ca nArasiMhe te piRqaprASane kAle sumitrAyE mahIpateH
sp003-002010_RV_10	piRqAByAmalpamalpam tu svaBaginyE prayacCataH iti
sp003-002011_RV_10	evam anyatrApi viroDe purARAntarAtsamADAtavyam
sp003-002012_RV_10	na ca evam satyapi IrzyA syAdityAha
sp003-002013_RV_10	seti
sp003-002014_RV_10	sA sumitra uBayorapi samAnaH ekaH patiH yayoH tayoH sapatnyoH
sp003-002015_RV_10	nityam sapatnyAdizu iti NIp
sp003-002016_RV_10	nakArAdeSaSca
sp003-002017_RV_10	BramarI BfNgANganA vAraRasya gajasya madanisyandareKayoriva
sp003-002018_RV_10	gaRqadvayagatayoriti BAvaH
sp003-002019_RV_10	praRayavatI premavatI AsIt
sp003-002020_RV_10	sapatnyoH ityatra samAsAntargatasya patyuH upamAnam vAraRasya iti
sp003-002021_RV_10	tABiriti
sp003-002022_RV_10	tABiH kOsalyAdiBiH prajAnAm BUtyA aByudayAya
sp003-002023_RV_10	devasya vizRoH aMSaH samBavaH kAraRam yasya saH garBaH
sp003-002024_RV_10	sUryasya imAH sOryaH
sp003-002025_RV_10	tABiH sOrIBiH
sp003-002026_RV_10	sUryatizya ityAdinA upaDAyakArasya lopaH
sp003-002027_RV_10	amftA ityAKyA yAsAm tABiH
sp003-002028_RV_10	jalavahanasAmyAt nAqIBiriva nAqIBiH vfzwivisarjanIBiH dIDitiBiH
sp003-002029_RV_10	apAm vikAraH ammayaH jalamayaH garBa iva
sp003-002030_RV_10	daDre DftaH
sp003-002031_RV_10	jAtAvekavacanam
sp003-002032_RV_10	garBAH daDire ityarTaH
sp003-002033_RV_10	atra yAdavaH tAsAm SatAni catvAri raSmInAm vfzwisarjane
sp003-002034_RV_10	Satatrayam himotsarge tAvat garBasya sarjane
sp003-002035_RV_10	AnandASca hi meDyASca nUtanAH pUtanA iti
sp003-002036_RV_10	catuHSatam vfzwivAhAstAH sarvA amftA striyaH iti
sp003-002037_RV_10	samamiti
sp003-002038_RV_10	samam yugapat ApannAH gfhItAH sattvAH prARinaH yABiH tAH ApannasattvAH garBiRyaH
sp003-002039_RV_10	ApannasattvA syAt gurviRyantarvatnI ca garBiRI ityamaraH
sp003-002040_RV_10	ata eva ApARquratvizaH IzatpARquravarRAH tAH rAjapatnyaH
sp003-002041_RV_10	antargatAH guptAH PalAramBAH PalaprAdurBAvAH yAsAm tAH sasyAnAm sampadaH iva
sp003-002042_RV_10	rejuH baBuH
sp003-002043_RV_10	samprati tAsAm svapnadarSanAnyAha
sp003-002044_RV_10	guptamiti
sp003-002045_RV_10	sarvAH tAH svapnezu
sp003-002046_RV_10	jalajaH SaNKaH
sp003-002047_RV_10	jalajAsigadASArNgacakrEH lAYCitAH mUrtayaH yezAm tEH
sp003-002048_RV_10	vAmanEH hrasvEH puruzEH guptam rakzitam AtmAnam svarUpam dadfSuH
sp003-002049_RV_10	hemeti
sp003-002050_RV_10	kiYceti cArTaH
sp003-002051_RV_10	hemnaH suvarRasya pakzARAm praBAjAlam kAntipuYjam vitanvatA
sp003-002052_RV_10	vistArayatA vegena AkfzwAH payomucaH meGAH yena tena suparRena
sp003-002053_RV_10	garutmatA garuqena gagane tAH uhyante sma UQAH
sp003-002054_RV_10	biBratyeti
sp003-002055_RV_10	kiYca stanayoH antare maDye vilambinam lambamAnam nyasyata iti nyAsaH
sp003-002056_RV_10	kOstuBaH eva nyAsaH tam patyA kOtukAt nyastam kOstuBam ityarTaH
sp003-002057_RV_10	biBratyA padmameva vyajanam haste yasyAH tayA lakzmyA paryupAsyanta upAsitAH
sp003-002058_RV_10	kfteti
sp003-002059_RV_10	kiYca
sp003-002060_RV_10	divi BavAyAm divyAyAm trisrotasi AkASagaNgAyAm kftABizekEH
sp003-002061_RV_10	kftAvagAhEH param brahma devarahasyam gfRadBiH paWadBiH vedarahasyam gfRadBiH paWadBiH saptaBiH
sp003-002062_RV_10	brahmarziBiH kaSyapapraBftiBiH upatasTire upAsAYcakrire
sp003-002063_RV_10	tABya iti
sp003-002064_RV_10	pArTivaH daSaraTaH tAByaH patnIByaH AKyAtopayoge ityapAdAnatvAtpaYcamI
sp003-002065_RV_10	taTAviDAn uktaprakArAnsvapnAn SrutvA prItaH san
sp003-002066_RV_10	AtmAnam jagadguroH vizRorapi gurutvena pitftvena hetunA parArDyam sarvotkfzwam mene hi
sp003-002067_RV_10	viBakteti
sp003-002068_RV_10	ekaH ekarUpaH viBuH vizRuH tAsAm rAjapatnInAm kukzizu garBezu prasannAnAm nirmalAnAm
sp003-002069_RV_10	apAm kukzizu pratimAcandraH pratibimbacandra iva anekaDA viBaktAtmA san uvAsa
sp003-002070_RV_10	aTeti
sp003-002071_RV_10	aTa rAjYaH daSaraTasya satI pativratA agryA ca asO mahizI ca agryamahizI kOsalyA
sp003-002072_RV_10	prasUtisamaye prasUtikAle ozaDiH naktam rAtrisamaye tamaH apahantIti tamopaham
sp003-002073_RV_10	ape kleSatamasoH iti qapratyayaH
sp003-002074_RV_10	jyotiH iva
sp003-002075_RV_10	tamopaham tamonASakaram putram leBe prApa
sp003-002076_RV_10	rAma iti
sp003-002077_RV_10	aBiramante atra ityaBirAmam manoharam aDikaraRArTe GaYpratyayaH
sp003-002078_RV_10	tena vapuzA coditaH preritaH guruH pitA daSaraTaH tasya putrasya
sp003-002079_RV_10	jagatAm praTamam maNgalam sulakzaRam rAma iti nAmaDeyam cakre
sp003-002080_RV_10	aBirAmatvameva rAmaSabdapravfttinimittamityarTaH
sp003-002081_RV_10	raGviti
sp003-002082_RV_10	raGuvaMSasya pradIpena prakASakena
sp003-002083_RV_10	apratimatejasA tena rAmeRa rakzAgfhagatAH sUtikAgfhagatAH dIpAH pratyAdizwAH pratibadDAH iva aBavan
sp003-002084_RV_10	mahAdIpasamIpe nAlpAH sPurantIti BAvaH
sp003-002085_RV_10	Sayyeti
sp003-002086_RV_10	SAtodarI garBamocanAtkfSodarI mAtA SayyAgatena rAmeRa
sp003-002087_RV_10	sEkate puline yaH amBojabaliH padmopahAraH tena Saradi kfSA jAhnavI gaNgeva baBO
sp003-002088_RV_10	kEkeyyA iti
sp003-002089_RV_10	kekayasya rAjYaH apatyam strI kEkeyI
sp003-002090_RV_10	tasyApatyam ityaRi kfte kekayamitrayupralayAnAm yAderyaH iti iyAdeSaH
sp003-002091_RV_10	tasyAH Barato nAma SIlavAn tanayaH jajYe jAtaH
sp003-002092_RV_10	yaH tanayaH praSrayaH vinayaH Sriyam iva janayitrIm mAtaram alaYcakre
sp003-002093_RV_10	sutAviti
sp003-002094_RV_10	sumitrA lakzmaRaSatruGnO nAma yamO yugmajAtO sutO putrO samyagArADitA
sp003-002095_RV_10	svaByastA vidyA praboDavinayO tattvajYAnendriyajAtAviva suzuve
sp003-002096_RV_10	nirdozamiti
sp003-002097_RV_10	sarvam jagat BUlokaH nirdozam durBikzAdidozarahitam
sp003-002098_RV_10	AvizkftaguRam prakawIkfta ArogyAdiguRam ca aBavat
sp003-002099_RV_10	atra utprekzyate gAm Buvam gatam avatIrRam puruzottamam vizRum svargopi anvagAdiva
sp003-002100_RV_10	svargo hi guvaRAn nirdozaSca ityAgamaH
sp003-002101_RV_10	svargatulyam aBUdityarTaH
sp003-002102_RV_10	tasyeti
sp003-002103_RV_10	caturmUrteH rAmAdirUpeRa catUrUpasya sataH tasya hareH udaye sati
sp003-002104_RV_10	pOlastyAt rAvaRAt cakitAH gItAH ISvarAH nATAH indrAdayaH
sp003-002105_RV_10	yAsAm tAH diSaH catasraH virajaskEH apaDUliBiH
sp003-002106_RV_10	naBasvadBiH vAyuBiH mizeRa ucCvasitAH iva ityutprekzA
sp003-002107_RV_10	SvaseH kartari ktaH
sp003-002108_RV_10	svanATaSaraRalABasantuzwAnAm diSAm ucCvAsavAtAH iva vAtAH vavuH ityarTaH
sp003-002109_RV_10	caturdigISarakzaRam mUrticatuzwayaprayojanamiti BAvaH
sp003-002110_RV_10	kfSAnuriti
sp003-002111_RV_10	rakzasA rAvaRena viprakftO apakftO
sp003-002112_RV_10	pIqitO ityarTaH
sp003-002113_RV_10	kfSAnuH agniH praBAkaraH sUryaSca yaTAsaNKyam apaDUmatvAt prasannatvAcca
sp003-002114_RV_10	apavidDaSucO nirastaduHKAviva AstAm aBavatAm
sp003-002115_RV_10	daSAnaneti
sp003-002116_RV_10	tatkzaRam tasminkzaRe rAmotpattisamaye rAkzasaSriyaH aSrubindavaH daSAnanakirIweByaH
sp003-002117_RV_10	maRInAm vyAjena mizeRa pfTivyAm paryastAH patitAH
sp003-002118_RV_10	rAmodaye sati tadvaDyasya rAvaRasya kirIwamaRiBraMSalakzaRam durnimittam aBUdityarTaH
sp003-002119_RV_10	putreti
sp003-002120_RV_10	putriRaH jAtaputrasya tasya daSaraTasya putrajanmani praveSyAnAm praveSayitavyAnAm vAdanIyAnAm ityarTaH
sp003-002121_RV_10	tUryARAm vAdyAnAm AramBam upakramam praTamam divi devadunduBayaH cakuH
sp003-002122_RV_10	sAkzAt pituH daSaraTAdapi devAH aDikam prahfzwAH ityarTaH
sp003-002123_RV_10	santAnaketi
sp003-002124_RV_10	asya rAjYaH Bavane santAnakAnAm kalpavfkzakusumAnAm vikAraH
sp003-002125_RV_10	santAnakamayI vfzwiSca petuzI papAta
sp003-002126_RV_10	kvasuSca iti kvasupratyayaH
sp003-002127_RV_10	ugitaSca iti NIp
sp003-002128_RV_10	sA vfzwireva santaH putrajanmani AvaSyakAH ye maNgalopacArAH
sp003-002129_RV_10	tezAm AdiracanA praTamakriyA aBavat
sp003-002130_RV_10	kumArA iti
sp003-002131_RV_10	kftAH saMskArAH jAtakarmAdayaH yezAm te
sp003-002132_RV_10	DAtrIRAm upamAtFRAm stanyAni payAMsi pibantIti taToktAH
sp003-002133_RV_10	te kumArAH agre jAtena agrajena jyezWeneva sTitena pituH Anandena samam vavfDire
sp003-002134_RV_10	kumAravfdDyA pitA mahAntam Anandam avApa ityarTaH
sp003-002135_RV_10	kumArajanmanaH prAgeva jAtatvAt agrajatvoktiH Anandasya
sp003-002136_RV_10	svABAvikamiti
sp003-002137_RV_10	tezAm kumArARAm sambanDi svABAvikam sahajam vinItatvam vinayakarmaRA SikzayA
sp003-002138_RV_10	havirBujAm agnInAm sahajam tejaH havizA AjyAdikena iva mumUrcCa vavfDe
sp003-002139_RV_10	nisargasaMskArAByAm vinItAH ityarTaH
sp003-002140_RV_10	paraspareti
sp003-002141_RV_10	parasparam avirudDAH avidvizwAH sOBrAtraguRavantaH ityarTaH
sp003-002142_RV_10	te kumArAH tatprasidDam anaGam nizpApam raGoH kulam
sp003-002143_RV_10	ftavaH vasantAdayaH devAraRyam nandanam iva
sp003-002144_RV_10	sahajaviroDAnAmapi ftUnAm sahAvasTAnasamBAvanArTam devaviSezaRam
sp003-002145_RV_10	alam atyantam udyotayAmAsuH prakASayAmAsuH
sp003-002146_RV_10	sOBrAtravantaH kulaBUzaRAyante iti BAvaH
sp003-002147_RV_10	samAna iti
sp003-002148_RV_10	SoBanAH snigDAH BrAtaraH yezAm te suBrAtaraH
sp003-002149_RV_10	nadyftaSca iti kap na Bavati
sp003-002150_RV_10	vanndite BrAtuH iti nizeDAt
sp003-002151_RV_10	tezAm BAvaH sOBrAtram
sp003-002152_RV_10	yavAditvAt aR
sp003-002153_RV_10	tasmin samAne caturRAm tulyeऽpi yaTA uBO rAmalakzmaRO prItyA dvandvam baBUvatuH
sp003-002154_RV_10	taTA BarataSatruGnO prItyA dvandvam dvO dvO sAhacaryeRa aBivyaktO baBUvatuH
sp003-002155_RV_10	dvandvam rahasyamaryAdAvacanavyutkramaRayajYapAtraprayogABivyaktizu ityaBivyaktArTe nipAtaH
sp003-002156_RV_10	kvacit kasyacit snehaH nAtiricyate iti BAvaH
sp003-002157_RV_10	tezAmiti
